uplink,downlink
125672413.0,780855143.0
145571045.0,1016430110.0
120271721.0,894313140.0
114039948.0,745043523.0
113310665.0,723522127.0
125686206.0,541012809.0
131486406.0,606411692.0
114876642.0,456808375.0
146347596.0,584547212.0
124544419.0,425699635.0
155192546.0,627558661.0
152312822.0,569429633.0
222526862.0,837670310.0
174974900.0,766689054.0
297581805.0,1262016690.0
214981186.0,1097862019.0
350598811.0,1741474663.0
246680079.0,1400930634.0
347395756.0,1993158895.0
268221226.0,1476108867.0
291178292.0,1907063514.0
280038683.0,1572136386.0
289693950.0,1884177134.0
261829844.0,1670200320.0
293302763.0,1888021016.0
251216761.0,1691491090.0
286961218.0,1920763600.0
255334696.0,1608137413.0
286252924.0,1912588930.0
236700771.0,1598614081.0
286283330.0,1903110237.0
246447002.0,1559939213.0
284985965.0,1944351141.0
241501888.0,1587623985.0
294918020.0,1929562555.0
197044963.0,1345604050.0
291841810.0,1857843634.0
172341133.0,1142316257.0
270096380.0,1851871307.0
182666271.0,1244123329.0
265675699.0,1812151469.0
201778144.0,1437137935.0
272545940.0,1868239988.0
238985424.0,1674954868.0
273438606.0,1931152823.0
234496062.0,1696249966.0
287022599.0,2015605182.0
211812884.0,1610830448.0
144710388.0,861364572.0
139432613.0,1060060119.0
142273044.0,973986881.0
130728246.0,798364840.0
134150713.0,750894190.0
112128438.0,618875055.0
131420536.0,691201460.0
109993204.0,514525330.0
131798342.0,653914408.0
118262881.0,480423608.0
162879175.0,715657954.0
149029219.0,584375116.0
249162972.0,990253888.0
194498913.0,831669988.0
322179576.0,1452238478.0
212460755.0,1136294419.0
386120864.0,1842001023.0
237954528.0,1353832773.0
333845252.0,1964949436.0
266487757.0,1458428931.0
291046944.0,1852718613.0
254221771.0,1537716711.0
289954112.0,1832328446.0
239153040.0,1523953879.0
287004173.0,1818766722.0
228042509.0,1446990688.0
289943707.0,1860496699.0
240610214.0,1433725794.0
280589567.0,1867846494.0
245089119.0,1461339889.0
286067536.0,1876657309.0
238751809.0,1501437873.0
289195074.0,1874249982.0
238812965.0,1492887481.0
287631004.0,1903774314.0
244088691.0,1486910164.0
296052898.0,1965976677.0
210478918.0,1424489541.0
288361422.0,1900515407.0
216003505.0,1543298139.0
280413036.0,1876784538.0
229777524.0,1697617669.0
266124321.0,1884037176.0
236727876.0,1733255277.0
273620028.0,1885497976.0
231670242.0,1796397108.0
276230171.0,2013080730.0
207575835.0,1674328364.0
142208256.0,842621118.0
141966178.0,1054328403.0
138624853.0,941994529.0
118887018.0,801776697.0
146868729.0,807076180.0
119984773.0,589748390.0
155651764.0,678702889.0
103881259.0,493221798.0
170911810.0,711500044.0
113289551.0,423209745.0
151136641.0,686648693.0
142466058.0,570698717.0
237099076.0,1066601707.0
180178765.0,796222224.0
314687296.0,1582493363.0
216236449.0,1036399858.0
375953811.0,1958221049.0
266721089.0,1370810932.0
309242682.0,1917804941.0
255342910.0,1477501083.0
294561926.0,1867381872.0
248700054.0,1530505924.0
302987114.0,1852034544.0
232894123.0,1489729748.0
288100600.0,1853580190.0
216521350.0,1481131149.0
289330447.0,1869864851.0
227139178.0,1463898115.0
287843186.0,1918484649.0
229133351.0,1450800594.0
289879317.0,1940788888.0
224149963.0,1387062120.0
296624528.0,1963405594.0
224481223.0,1415457601.0
305553337.0,1965765460.0
224509822.0,1365633032.0
314353711.0,2001436097.0
211640047.0,1364076968.0
307303168.0,1997248934.0
247657968.0,1496314885.0
287065962.0,1958561513.0
235729177.0,1573958871.0
273089973.0,1944612737.0
234509257.0,1695283621.0
267672963.0,1965142448.0
237218902.0,1639664839.0
277881887.0,2042611095.0
220372659.0,1602103504.0
144142254.0,898711846.0
165676455.0,1065990444.0
158307811.0,1049534229.0
160756740.0,791423063.0
142554932.0,907052964.0
153414454.0,600824370.0
153698210.0,737299659.0
137232377.0,477393427.0
149929157.0,636728882.0
133079912.0,443138707.0
186787762.0,657366347.0
164798938.0,535261064.0
